sex,unit,age,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 
F,NR,TOTAL,PT16I	122444 	122830 	123699 	124522 	125257 e	125923 e	127010 
F,NR,TOTAL,PT16J	111769 	112758 	114163 	115557 	116951 e	118092 e	119436 
F,NR,TOTAL,PT17	1525852 	1515229 	1505435 	1497523 	1491783 e	1487766 e	1486358 
F,NR,TOTAL,PT170	1525852 	1515229 	1505435 	1497523 	1491783 e	1487766 e	1486358 
F,NR,TOTAL,PT18	366592 	366602 	369038 	372406 	375532 e	380139 e	383867 
F,NR,TOTAL,PT181	47685 	47458 	47551 	47812 	48015 e	48512 e	48887 
F,NR,TOTAL,PT184	60049 	60127 	60669 	61273 	61811 e	62672 e	63314 
F,NR,TOTAL,PT185	124027 	123607 	124049 	124853 	125623 e	126822 e	127710 
F,NR,TOTAL,PT186	55006 	55415 	56092 	56905 	57731 e	58684 e	59557 
F,NR,TOTAL,PT187	79825 	79995 	80677 	81563 	82352 e	83449 e	84399 
F,NR,TOTAL,PT2	124912 	124721 	125052 	125604 	125414 e	125595 e	125794 
F,NR,TOTAL,PT20	124912 	124721 	125052 	125604 	125414 e	125595 e	125794 
F,NR,TOTAL,PT200	124912 	124721 	125052 	125604 	125414 e	125595 e	125794 
F,NR,TOTAL,PT3	135585 	135360 	135957 	136016 	136789 e	137618 e	139267 
F,NR,TOTAL,PT30	135585 	135360 	135957 	136016 	136789 e	137618 e	139267 
F,NR,TOTAL,PT300	135585 	135360 	135957 	136016 	136789 e	137618 e	139267 
F,NR,TOTAL,RO	9868177 e	9914008 	9978614 	10041869 	10110852 	10163573 	10201259 
F,NR,TOTAL,RO1	2481266 e	2485570 	2493598 	2502725 	2513506 	2520695 	2524879 
F,NR,TOTAL,RO11	1302865 e	1305427 	1309914 	1314712 	1320062 	1324123 	1326143 
F,NR,TOTAL,RO111	285809 e	286497 	288120 	289628 	291345 	293002 	293845 
F,NR,TOTAL,RO112	139550 e	139953 	140512 	141343 	142153 	142322 	142659 
F,NR,TOTAL,RO113	367243 e	366213 	364895 	363953 	363250 	362735 	361666 
F,NR,TOTAL,RO114	233394 e	234233 	235594 	236702 	238348 	239358 	240065 
F,NR,TOTAL,RO115	170189 e	170893 	172041 	173118 	174085 	174934 	175405 
F,NR,TOTAL,RO116	106680 e	107638 	108752 	109968 	110881 	111772 	112503 
F,NR,TOTAL,RO12	1178401 e	1180143 	1183684 	1188013 	1193444 	1196572 	1198736 
F,NR,TOTAL,RO121	163908 e	164624 	166055 	167549 	168898 	170044 	170774 
F,NR,TOTAL,RO122	283817 e	283170 	282511 	282382 	282504 	282233 	281758 
F,NR,TOTAL,RO123	101503 e	101807 	102566 	103353 	104169 	104730 	105277 
F,NR,TOTAL,RO124	152323 e	152665 	153615 	154377 	155409 	155897 	156487 
F,NR,TOTAL,RO125	270874 e	271994 	273605 	275074 	276984 	278150 	279029 
F,NR,TOTAL,RO126	205976 e	205883 	205332 	205278 	205480 	205518 	205411 
F,NR,TOTAL,RO2	2810268 e	2826396 	2853161 	2875714 	2898246 	2915405 	2925372 
F,NR,TOTAL,RO21	1599851 e	1607050 	1619956 	1629828 	1640180 	1646781 	1648850 
F,NR,TOTAL,RO211	293695 e	295457 	298337 	300703 	303550 	305183 	306091 
F,NR,TOTAL,RO212	188525 e	190388 	193482 	196348 	198920 	201350 	203485 
F,NR,TOTAL,RO213	397880 e	398141 	397711 	397054 	396846 	395843 	393135 
F,NR,TOTAL,RO214	222091 e	223709 	226360 	228733 	230859 	232481 	233725 
