,this,catch,id,code,name_de,name_en,name_es,name_fr,name_it,enabled,requiresPing,logo_body,logo_contentType,logo_lastModified,enableLog
0,0,1,-1,SleepScore,,,,,,0,0,,0,0,0
1,1,6,0,unknown,unknown,unknown,unknown,unknown,unknown,0,0,,0,0,0
